iso,country_name,year,tree_cover_ha,country_area_ha
ABW,Aruba,2000,24.95241082599935,18197.51125791283
AFG,Afghanistan,2000,205791.24716619888,64385715.38638352
AGO,Angola,2000,55292492.036959276,124742297.5171728
AIA,Anguilla,2000,2125.767403008136,8332.247766094117
ALA,Åland,2000,107727.26260979046,150643.27693975283
ALB,Albania,2000,648680.0522970103,2873537.2072487217
AND,Andorra,2000,19004.037659663813,45196.4107318438
ARE,United Arab Emirates,2000,0.0,7120447.902649121
ARG,Argentina,2000,39086979.32057318,278010122.0692354
ARM,Armenia,2000,336842.150937353,2969008.679990078
ATF,French Southern Territories,2000,71.63610311641655,4361.769312734865
ATG,Antigua and Barbuda,2000,19323.344344600715,43575.65842128826
AUS,Australia,2000,42280598.69282669,768791340.1200675
AUT,Austria,2000,4336043.427729188,8385801.90550024
AZE,Azerbaijan,2000,1268610.2150761776,8623532.539268728
BDI,Burundi,2000,537674.3483758941,2693531.4418218215
BEL,Belgium,2000,865425.884589654,3070744.164067786
BEN,Benin,2000,168568.17385019065,11542318.344423467
BES,"Bonaire, Saint Eustatius and Saba",2000,2432.087019459595,32365.98588800553
BFA,Burkina Faso,2000,132.10845248515463,27341710.745224193
BGD,Bangladesh,2000,1938957.8407029484,13938437.340619694
BGR,Bulgaria,2000,4138947.9956827248,11158730.954921614
BHR,Bahrain,2000,0.0,71517.71355012752
BHS,Bahamas,2000,303575.4213855502,1338763.0050996507
BIH,Bosnia and Herzegovina,2000,2657977.375734762,5106883.29435654
BLM,Saint-Barthélemy,2000,621.9506204239996,2468.5248173492746
BLR,Belarus,2000,9118585.551328653,20706912.088086583
BLZ,Belize,2000,1748275.8548130167,2198946.132067596
BMU,Bermuda,2000,604.7941316467601,6808.118594279569
BOL,Bolivia,2000,64521463.01088478,108339284.56963654
BRA,Brazil,2000,519187508.445698,850035649.739378
BRB,Barbados,2000,5229.736144669279,43466.14610412688
BRN,Brunei,2000,529338.9744078903,577778.7738791773
BTN,Bhutan,2000,2577234.5984593565,3876296.1221542098
BWA,Botswana,2000,20328.410120158373,57788401.2090472
CAF,Central African Republic,2000,47073501.134444885,62019959.3384185
CAN,Canada,2000,418066982.5346336,983422993.9378979
CHE,Switzerland,2000,1544417.6603326318,4124549.6418705033
CHL,Chile,2000,19287066.431302723,75735291.61001359
CHN,China,2000,162748596.43714848,938223515.6921742
CIV,Côte d'Ivoire,2000,14872640.43008388,32165794.108112913
CMR,Cameroon,2000,31459332.152385537,46604005.889690004
COD,Democratic Republic of the Congo,2000,199281686.52502468,232912780.76088193
COG,Republic of Congo,2000,26388373.13191873,34173222.79362336
COL,Colombia,2000,81801036.0546507,113675874.94466151
